u,v,p
-0.00528611,0.0372604,-0.0562819
-0.0108636,0.0513756,-0.058544
-0.0176977,0.0624393,-0.0612275
-0.0255588,0.0705357,-0.0624272
-0.0339825,0.075867,-0.06302
-0.0426742,0.0786836,-0.0626939
-0.0513414,0.0792781,-0.0616626
-0.0597691,0.0779542,-0.0599152
-0.067783,0.075012,-0.0575386
-0.0752586,0.0707322,-0.054575
-0.0821077,0.0653674,-0.0510826
-0.0882736,0.0591365,-0.0471087
-0.0937225,0.052223,-0.0427021
-0.0984371,0.044776,-0.037908
-0.10241,0.036913,-0.0327711
-0.10564,0.0287246,-0.0273354
-0.108125,0.0202801,-0.0216453
-0.109861,0.0116327,-0.0157463
-0.11084,0.00282675,-0.00968578
-0.111047,-0.00609615,-0.00351431
-0.11046,-0.0150901,0.0027137
-0.109051,-0.0240977,0.00893882
-0.106788,-0.0330434,0.0150957
-0.103637,-0.0418262,0.0211123
-0.0995692,-0.0503137,0.0269092
-0.0945633,-0.0583366,0.0323994
-0.0886161,-0.0656857,0.0374895
-0.0817502,-0.0721113,0.0420787
-0.0740231,-0.0773258,0.0460661
-0.0655384,-0.0810111,0.0493418
-0.0564514,-0.0828307,0.0518195
-0.0469832,-0.082446,0.0533749
-0.0374082,-0.0795393,0.0540061
-0.0280891,-0.0738338,0.0534827
-0.0193889,-0.0651304,0.0521716
-0.0118464,-0.0533078,0.0491531
-0.00572764,-0.0384015,0.0465724
-0.00199543,-0.0204887,0.0396167
0,0,0.0396167
0,0,-0.0560472
-0.00206787,0.0226816,-0.0560472
-0.00587796,0.0420579,-0.0630241
-0.0120461,0.0578546,-0.0654752
-0.0195648,0.0701387,-0.0683723
-0.0281667,0.0790281,-0.0696037
-0.0373288,0.0847767,-0.0701549
-0.0467234,0.0876917,-0.0696874
-0.0560311,0.0881255,-0.0684465
-0.0650229,0.0864388,-0.0664264
-0.0735187,0.0829836,-0.0637281
-0.0813956,0.0780852,-0.0604014
-0.0885718,0.0720327,-0.0565123
-0.0950004,0.0650732,-0.0521136
-0.100659,0.0574106,-0.0472581
-0.105543,0.0492073,-0.0419941
-0.109656,0.0405884,-0.0363679
-0.113006,0.0316466,-0.0304246
-0.115601,0.0224492,-0.0242089
-0.117444,0.0130447,-0.0177657
-0.118527,0.00347055,-0.0111422
-0.118838,-0.00623974,-0.0043881
-0.118351,-0.0160482,0.00244259
-0.117033,-0.0259043,0.00929029
-0.11484,-0.0357367,0.0160886
-0.111728,-0.0454446,0.0227627
-0.107648,-0.0548902,0.029229
-0.102563,-0.0638916,0.0353934
-0.09645,-0.0722181,0.0411529
-0.0893119,-0.0795881,0.0463937
-0.0811904,-0.0856718,0.0509993
-0.0721787,-0.0900979,0.0548397
-0.0624302,-0.0924682,0.0578089
-0.0521759,-0.0923752,0.0597552
-0.041713,-0.0894311,0.0606634
-0.031446,-0.0832914,0.0602591
-0.0217882,-0.0737,0.0589437
-0.0133602,-0.0604922,0.0556641
-0.00648113,-0.0436882,0.052839
-0.00226436,-0.0233608,0.0450148
0,0,0.0450148
0,0,-0.0631092
-0.00231236,0.0256105,-0.0631092
-0.00655345,0.0473777,-0.0708443
-0.0133846,0.0650035,-0.0734906
-0.0216599,0.0785865,-0.0766043
-0.0310663,0.088289,-0.0778417
-0.0410137,0.094429,-0.0783148
-0.0511381,0.0973841,-0.0776572
-0.0610921,0.0975788,-0.0761524
-0.0706343,0.0954415,-0.0738011
-0.0795817,0.0913849,-0.0707216
-0.0878167,0.0857852,-0.0669724
-0.0952683,0.0789723,-0.0626285
-0.101903,0.0712239,-0.0577486
-0.107715,0.0627654,-0.0523902
-0.112713,0.0537725,-0.0466041
-0.116918,0.0443763,-0.0404384
-0.120348,0.0346702,-0.0339387
-0.123024,0.0247173,-0.027149
-0.124954,0.0145586,-0.0201135
-0.126138,0.00422147,-0.0128774
-0.126563,-0.00627193,-0.0054888
-0.126202,-0.0168952,0.00200007
-0.125014,-0.0276085,0.00953086
-0.122947,-0.0383484,0.0170374
-0.119939,-0.0490182,0.0244437
-0.115925,-0.0594776,0.0316627
-0.110844,-0.0695344,0.0385941
-0.104648,-0.0789369,0.0451253
-0.0973157,-0.0873706,0.0511284
-0.0888659,-0.094459,0.0564695
-0.0793739,-0.0997708,0.060995
-0.0689842,-0.102835,0.064575
-0.0579332,-0.103161,0.067024
-0.0465386,-0.100275,0.0683078
-0.0352489,-0.0937468,0.0680969
-0.0245334,-0.0832459,0.0668283
-0.0151087,-0.0685492,0.0632895
-0.00735936,-0.0496518,0.0602122
-0.00258036,-0.0266169,0.0513946
0,0,0.0513946
0,0,-0.071325
-0.00259262,0.0288795,-0.071325
-0.00732149,0.0532853,-0.0799073
-0.014892,0.0728954,-0.0827485
-0.0239953,0.0878501,-0.0860727
-0.0342631,0.09837,-0.087277
-0.0450293,0.104855,-0.0876209
-0.0558909,0.107768,-0.0867095
-0.0664723,0.107623,-0.0848718
-0.0765231,0.104928,-0.0821177
-0.0858615,0.100166,-0.0785854
-0.0943808,0.0937716,-0.074344
-0.102026,0.0861192,-0.0694788
-0.108782,0.0775197,-0.0640547
-0.114663,0.0682205,-0.058134
-0.119697,0.0584098,-0.0517701
-0.123922,0.0482233,-0.0450126
-0.127375,0.0377528,-0.0379065
-0.130085,0.0270546,-0.0304949
-0.132073,0.016159,-0.0228196
-0.133345,0.00507983,-0.0149231
-0.13389,-0.00617572,-0.00684999
-0.13368,-0.0175971,0.00135072
-0.132667,-0.0291594,0.00962377
-0.130788,-0.040812,0.0179052
-0.127967,-0.0524666,0.0261196
-0.124115,-0.0639851,0.0341783
-0.119147,-0.0751683,0.0419759
-0.112985,-0.0857457,0.049391
-0.105574,-0.0953695,0.0562814
-0.096902,-0.103614,0.0624937
-0.0870175,-0.109979,0.0678477
-0.0760469,-0.11391,0.0721846
-0.0642238,-0.114819,0.075277
-0.0518815,-0.112122,0.0770651
-0.0395126,-0.105283,0.0771506
-0.0276478,-0.093874,0.0760045
-0.0171145,-0.0775918,0.0722253
-0.00837737,-0.056392,0.0688988
-0.00295002,-0.0303195,0.0589549
0,0,0.0589549
0,0,-0.0808909
-0.00291291,0.0325348,-0.0808909
-0.00819094,0.0598507,-0.0904123
-0.0165793,0.0816039,-0.0934376
-0.0265768,0.0979909,-0.096952
-0.0377499,0.10931,-0.0980655
-0.0493464,0.116063,-0.0982089
-0.0609232,0.118825,-0.0969597
-0.0720784,0.118212,-0.094701
-0.0825574,0.11483,-0.0914549
-0.0921864,0.109243,-0.0873834
-0.100876,0.101949,-0.0825675
-0.108594,0.0933732,-0.0771039
-0.115351,0.0838606,-0.0710645
-0.121184,0.0736804,-0.0645163
-0.126147,0.063032,-0.0575151
-0.130297,0.0520538,-0.050111
-0.13369,0.0408329,-0.0423481
-0.136371,0.0294157,-0.0342672
-0.138373,0.0178186,-0.0259067
-0.139709,0.00603811,-0.0173045
-0.140372,-0.00593778,-0.00850043
-0.140333,-0.0181187,0.000462169
-0.139542,-0.0304998,0.00953336
-0.137924,-0.0430486,0.0186538
-0.135386,-0.055691,0.0277515
-0.131816,-0.0682968,0.0367383
-0.1271,-0.0806648,0.0455064
-0.121124,-0.0925099,0.0539267
-0.113795,-0.103453,0.0618434
-0.105058,-0.113015,0.0690827
-0.0949225,-0.120625,0.0754345
-0.0834854,-0.12563,0.0807054
-0.0709654,-0.127324,0.084618
-0.0577023,-0.124994,0.0870772
-0.0442298,-0.117965,0.0875999
-0.0311431,-0.105683,0.0866864
-0.0193956,-0.0877351,0.0827109
-0.00954946,-0.0640161,0.0791558
-0.00338016,-0.0345383,0.0679487
0,0,0.0679487
0,0,-0.0920495
-0.00327794,0.0366261,-0.0920495
-0.00917062,0.0671461,-0.102602
-0.0184545,0.0911992,-0.105785
-0.0294019,0.109058,-0.109448
-0.0415019,0.121125,-0.110386
-0.0539073,0.128035,-0.11023
-0.0661354,0.130498,-0.108532
-0.0777626,0.129258,-0.105739
-0.0885386,0.125035,-0.10189
-0.0983063,0.118485,-0.097173
-0.107003,0.110179,-0.0916845
-0.114627,0.100593,-0.085533
-0.12122,0.090109,-0.0787974
-0.126851,0.079016,-0.0715495
-0.1316,0.0675225,-0.0638468
-0.13555,0.0557662,-0.0557391
-0.138777,0.0438267,-0.0472688
-0.141344,0.031737,-0.0384727
-0.143296,0.0194956,-0.0293845
-0.144657,0.0070781,-0.0200359
-0.145427,-0.00555106,-0.0104593
-0.145578,-0.0184265,-0.000690299
-0.145055,-0.0315685,0.00922933
-0.143775,-0.0449689,0.0192481
-0.141629,-0.0585746,0.0293006
-0.138483,-0.0722703,0.0393031
-0.134189,-0.0858602,0.0491483
-0.128594,-0.0990509,0.0587026
-0.121557,-0.111436,0.0677982
-0.112972,-0.122486,0.0762408
-0.102796,-0.13155,0.0837881
-0.0910778,-0.137869,0.0902069
-0.0780057,-0.140598,0.0951598
-0.0639113,-0.138866,0.0985052
-0.049361,-0.131825,0.0996552
-0.0350134,-0.118752,0.0991311
-0.0219631,-0.0990894,0.0950413
-0.0108883,-0.0726353,0.0913047
-0.00387768,-0.0393493,0.0787
0,0,0.0787
0,0,-0.105099
-0.00369315,0.041208,-0.105099
-0.0102695,0.0752453,-0.116771
-0.020522,0.101744,-0.120061
-0.0324559,0.12108,-0.123798
-0.0454704,0.133799,-0.12444
-0.0586155,0.140705,-0.123847
-0.0713731,0.142677,-0.121553
-0.083307,0.140617,-0.118079
-0.0941829,0.135373,-0.113487
-0.103873,0.127707,-0.107996
-0.112353,0.118269,-0.101718
-0.119661,0.10759,-0.0947737
-0.125877,0.0960838,-0.0872501
-0.131107,0.0840595,-0.0792226
-0.135463,0.0717304,-0.0707496
-0.139054,0.0592298,-0.0618797
-0.14198,0.0466257,-0.0526517
-0.144323,0.0339337,-0.0430973
-0.146143,0.021131,-0.0332433
-0.147475,0.00816828,-0.0231133
-0.148327,-0.00501768,-0.0127299
-0.148675,-0.018491,-0.002118
-0.148463,-0.0323027,0.00869205
-0.147602,-0.0464752,0.0196604
-0.145967,-0.0609838,0.0307324
-0.143405,-0.075737,0.0418335
-0.139733,-0.0905537,0.0528615
-0.134757,-0.105141,0.0636828
-0.128282,-0.119074,0.0741209
-0.120137,-0.131776,0.0839631
-0.110211,-0.142519,0.0929336
-0.0984871,-0.150422,0.100755
-0.0850995,-0.154487,0.107019
-0.0703498,-0.153648,0.111525
-0.054821,-0.146844,0.113557
-0.0392276,-0.133131,0.113641
-0.0248169,-0.111751,0.109573
-0.0124041,-0.0823614,0.105741
-0.00444954,-0.0448346,0.0916178
0,0,0.0916178
0,0,-0.120417
-0.00416542,0.0463385,-0.120417
-0.0114974,0.0842193,-0.133286
-0.0227814,0.113283,-0.136596
-0.0357086,0.134053,-0.140288
-0.0495747,0.147266,-0.140459
-0.0633233,0.153947,-0.139239
-0.0764105,0.155185,-0.136152
-0.0884029,0.152069,-0.131809
-0.0990993,0.1456,-0.126298
-0.108418,0.136655,-0.119873
-0.116385,0.125965,-0.112664
-0.123091,0.114116,-0.104805
-0.128662,0.101554,-0.0963894
-0.133245,0.0886002,-0.0874942
-0.136988,0.0754682,-0.0781779
-0.140028,0.0622824,-0.0684857
-0.14249,0.0490943,-0.0584512
-0.144475,0.0358985,-0.0480992
-0.14606,0.0226467,-0.0374473
-0.147291,0.00926138,-0.0265085
-0.148186,-0.00435187,-0.0152931
-0.148728,-0.0182908,-0.00381213
-0.148862,-0.0326424,0.00791938
-0.148497,-0.0474656,0.0198775
-0.147498,-0.0627725,0.0320236
-0.145693,-0.0785048,0.0442977
-0.142871,-0.0945079,0.0566095
-0.138793,-0.110502,0.0688313
-0.133205,-0.126056,0.0807841
-0.125865,-0.140556,0.0922406
-0.116576,-0.153199,0.102893
-0.10523,-0.162982,0.112417
-0.0918808,-0.168731,0.120325
-0.0767674,-0.169156,0.12634
-0.0604623,-0.162925,0.129591
-0.043719,-0.148813,0.130586
-0.0279418,-0.125789,0.126753
-0.0141033,-0.0932985,0.122969
-0.0051029,-0.0510793,0.107232
0,0,0.107232
0,0,-0.138464
-0.00470427,0.0520821,-0.138464
-0.0128661,0.0941357,-0.152584
-0.0252265,0.125841,-0.155776
-0.0391075,0.147926,-0.15923
-0.0536899,0.161393,-0.158684
-0.0678135,0.167551,-0.156576
-0.0809278,0.167752,-0.152438
-0.0926252,0.163307,-0.146982
-0.102762,0.155386,-0.140332
-0.111322,0.144992,-0.13278
-0.1184,0.13294,-0.124473
-0.124148,0.119865,-0.115559
-0.128749,0.106237,-0.106134
-0.132392,0.0923835,-0.0962759
-0.135262,0.078512,-0.0860403
-0.137529,0.0647312,-0.0754667
-0.139337,0.0510714,-0.064581
-0.140809,0.0375016,-0.0533984
-0.142035,0.0239452,-0.0419251
-0.143076,0.0102934,-0.0301606
-0.143959,-0.00358217,-0.0181
-0.144676,-0.0178161,-0.00573696
-0.14518,-0.0325349,0.00693264
-0.14538,-0.0478404,0.0199058
-0.145139,-0.0637885,0.0331656
-0.144272,-0.080365,0.0466737
-0.142544,-0.0974548,0.0603592
-0.139676,-0.114808,0.0741092
-0.135357,-0.132002,0.0877508
-0.129264,-0.148406,0.10105
-0.121101,-0.163152,0.113672
-0.110644,-0.175119,0.125244
-0.0978293,-0.182945,0.135196
-0.0827925,-0.185079,0.143152
-0.0660535,-0.179867,0.148063
-0.048372,-0.165716,0.150381
-0.0313011,-0.141228,0.147104
-0.0159879,-0.105537,0.143593
-0.0058457,-0.0581727,0.1262
0,0,0.1262
0,0,-0.159865
-0.00532371,0.0585064,-0.159865
-0.0143905,0.105048,-0.175253
-0.0278427,0.139396,-0.178105
-0.042569,0.162574,-0.181026
-0.0576292,0.175947,-0.17941
-0.0717752,0.181194,-0.17605
-0.084481,0.179991,-0.170515
-0.0953998,0.173903,-0.16363
-0.104477,0.164294,-0.155565
-0.111788,0.152291,-0.14665
-0.117513,0.138789,-0.137049
-0.121878,0.124462,-0.126918
-0.125124,0.109795,-0.116354
-0.127491,0.0951118,-0.105433
-0.129198,0.0806032,-0.094201
-0.130441,0.0663556,-0.08269
-0.131386,0.0523725,-0.0709143
-0.132172,0.0385938,-0.0588765
-0.132901,0.0249115,-0.0465685
-0.133647,0.0111838,-0.0339733
-0.134449,-0.00275285,-0.0210678
-0.135309,-0.0170714,-0.00782452
-0.13619,-0.0319405,0.00578398
-0.137009,-0.0475085,0.0197806
-0.137635,-0.0638824,0.0341768
-0.13788,-0.0811015,0.0489635
-0.137495,-0.0991045,0.064099
-0.136172,-0.117689,0.0794957
-0.133546,-0.136467,0.0949993
-0.129214,-0.154812,0.11038
-0.12277,-0.171816,0.125289
-0.11385,-0.186255,0.139308
-0.102232,-0.196577,0.151781
-0.0878971,-0.200943,0.16222
-0.0712505,-0.197316,0.16937
-0.0530037,-0.183636,0.173568
-0.0348286,-0.158015,0.171325
-0.0180537,-0.119134,0.168429
-0.00668743,-0.0661996,0.149418
0,0,0.149418
0,0,-0.185345
-0.00604576,0.065695,-0.185345
-0.0160916,0.117001,-0.201934
-0.0306005,0.153879,-0.204106
-0.0459599,0.177778,-0.206041
-0.0611141,0.190574,-0.202865
-0.0747639,0.194414,-0.197761
-0.0864573,0.191371,-0.190381
-0.0959583,0.183303,-0.181671
-0.10334,0.171771,-0.171857
-0.108799,0.158027,-0.161301
-0.11262,0.143028,-0.150184
-0.115109,0.127474,-0.138661
-0.116572,0.111848,-0.126826
-0.117293,0.0964548,-0.114742
-0.117523,0.0814598,-0.102445
-0.11748,0.0669179,-0.089951
-0.117344,0.0528004,-0.0772599
-0.117264,0.0390142,-0.0643575
-0.117352,0.025419,-0.0512178
-0.117692,0.0118394,-0.0378047
-0.118331,-0.00192261,-0.024073
-0.119285,-0.0160779,-0.00997125
-0.120531,-0.0308374,0.00455564
-0.122003,-0.0463976,0.0195616
-0.123582,-0.0629204,0.0350927
-0.125092,-0.0805074,0.0511777
-0.126286,-0.0991648,0.0678145
-0.12684,-0.118759,0.0849545
-0.126352,-0.13896,0.102477
-0.124347,-0.159183,0.120175
-0.120306,-0.178516,0.137699
-0.113708,-0.195659,0.154601
-0.104134,-0.208892,0.170147
-0.0913465,-0.216076,0.18372
-0.0755535,-0.214731,0.193843
-0.0573342,-0.20222,0.200659
-0.0384138,-0.176005,0.20014
-0.0202894,-0.134111,0.198368
-0.00764172,-0.075252,0.177929
0,0,0.177929
0,0,-0.216109
-0.00690376,0.0737244,-0.216109
-0.0179952,0.129982,-0.233692
-0.0334426,0.169103,-0.23465
-0.0490678,0.193152,-0.234894
-0.0637287,0.204718,-0.229448
-0.0761462,0.206544,-0.221908
-0.0860159,0.201174,-0.212084
-0.0932797,0.190782,-0.201035
-0.0981856,0.177128,-0.189056
-0.101081,0.161566,-0.176529
-0.102367,0.145094,-0.163641
-0.102439,0.12841,-0.150537
-0.101661,0.111975,-0.137292
-0.100354,0.0960585,-0.123952
-0.0987924,0.080786,-0.11053
-0.0972051,0.0661732,-0.097021
-0.0957783,0.0521534,-0.0834038
-0.0946615,0.0385989,-0.069643
-0.0939708,0.0253365,-0.0556909
-0.0937925,0.0121595,-0.0414884
-0.0941836,-0.00116233,-0.0269656
-0.0951721,-0.014874,-0.0120434
-0.0967528,-0.0292258,0.00336457
-0.0988817,-0.0444603,0.0193481
-0.101467,-0.0607955,0.0359943
-0.104357,-0.0784,0.0533784
-0.107327,-0.0973584,0.0715501
-0.11006,-0.117625,0.0905147
-0.112141,-0.13896,0.110206
-0.113046,-0.160858,0.130459
-0.112154,-0.182452,0.150957
-0.108784,-0.202424,0.171237
-0.102287,-0.218927,0.190518
-0.0921409,-0.229532,0.208035
-0.0782514,-0.231288,0.222096
-0.060945,-0.220856,0.232536
-0.0418792,-0.19486,0.234757
-0.0226691,-0.15038,0.234867
-0.00872697,-0.0853899,0.213415
0,0,0.213415
0,0,-0.253252
-0.00794972,0.082733,-0.253252
-0.020128,0.143977,-0.271294
-0.0362473,0.184791,-0.270231
-0.0515337,0.208146,-0.26774
-0.0648286,0.217627,-0.259077
-0.0749982,0.216716,-0.248212
-0.0819876,0.208501,-0.235218
-0.0860007,0.195475,-0.221237
-0.0875092,0.179571,-0.206637
-0.0870365,0.162207,-0.191797
-0.0851092,0.144384,-0.176894
-0.0822031,0.126766,-0.162039
-0.0787306,0.109762,-0.147279
-0.0750353,0.0935854,-0.132623
-0.0713977,0.0783097,-0.118053
-0.0680423,0.0639024,-0.103534
-0.0651475,0.0502553,-0.0890163
-0.0628532,0.0372051,-0.0744386
-0.0612686,0.024548,-0.0597273
-0.0604773,0.01205,-0.0447971
-0.0605406,-0.00054567,-0.0295507
-0.0614977,-0.0135119,-0.0138789
-0.0633636,-0.0271315,0.00233872
-0.0661231,-0.0416874,0.0192315
-0.069721,-0.0574494,0.0369331
-0.0740482,-0.074653,0.0555728
-0.0789231,-0.0934674,0.0752634
-0.0840687,-0.11395,0.0960799
-0.0890893,-0.13598,0.118032
-0.0934483,-0.159176,0.141028
-0.0964592,-0.182781,0.164815
-0.0972972,-0.205532,0.188953
-0.09507,-0.225535,0.212658
-0.0889159,-0.240132,0.235018
-0.0783196,-0.2459,0.254175
-0.0631946,-0.238695,0.2695
-0.04493,-0.214084,0.275891
-0.0251432,-0.167809,0.278981
-0.00997267,-0.0967197,0.257413
0,0,0.257413
0,0,-0.299812
-0.00925101,0.092755,-0.299812
-0.0224939,0.158717,-0.317238
-0.0387658,0.200297,-0.312843
-0.0527535,0.221781,-0.305909
-0.0634195,0.228126,-0.292594
-0.0699791,0.223689,-0.277093
-0.0727576,0.21215,-0.259917
-0.0723174,0.196286,-0.242208
-0.0693948,0.178147,-0.224412
-0.064703,0.159152,-0.206849
-0.058883,0.140247,-0.189655
-0.0524733,0.122021,-0.172878
-0.0459087,0.104798,-0.156506
-0.0395311,0.0887171,-0.140492
-0.0336035,0.0737855,-0.124773
-0.0283262,0.0599162,-0.10927
-0.0238512,0.0469582,-0.0938983
-0.0202947,0.0347145,-0.078562
-0.0177473,0.0229556,-0.0631579
-0.0162814,0.0114269,-0.0475714
-0.0159562,-0.000146269,-0.0316755
-0.0168196,-0.0120551,-0.0153287
-0.0189069,-0.0246042,0.00162561
-0.0222361,-0.0381062,0.0193594
-0.0267985,-0.0528731,0.0380574
-0.0325434,-0.0691999,0.0579109
-0.0393573,-0.0873388,0.0791076
-0.0470353,-0.107458,0.101811
-0.0552467,-0.129577,0.126134
-0.063496,-0.153481,0.152092
-0.0710871,-0.178591,0.179551
-0.0771038,-0.203799,0.208142
-0.0804346,-0.227281,0.237161
-0.0798554,-0.246267,0.265563
-0.0743113,-0.256942,0.291436
-0.0631145,-0.254302,0.313461
-0.0470762,-0.232654,0.326222
-0.0275988,-0.185876,0.33397
-0.0114076,-0.109169,0.313871
0,0,0.313871
0,0,-0.356605
-0.010888,0.104121,-0.356605
-0.0250035,0.174059,-0.370998
-0.0404317,0.214925,-0.361442
-0.051615,0.23292,-0.347751
-0.0578655,0.234865,-0.328147
-0.0590539,0.226093,-0.306604
-0.0560269,0.21086,-0.284288
-0.0497963,0.192131,-0.262167
-0.0413767,0.171971,-0.240747
-0.0316562,0.151709,-0.220209
-0.0213554,0.132166,-0.20061
-0.0110347,0.113802,-0.181887
-0.00111204,0.0968284,-0.163945
0.00810895,0.081288,-0.146661
0.0164131,0.0671116,-0.129907
0.0236501,0.0541558,-0.113553
0.0297147,0.0422284,-0.0974682
0.0345308,0.0311046,-0.0815209
0.0380393,0.0205368,-0.0655742
0.0401887,0.0102595,-0.0494831
0.0409291,-8.50268e-06,-0.0330902
0.0402085,-0.0105641,-0.0162225
0.0379728,-0.0217197,0.00131261
0.0341692,-0.0338027,0.0197294
0.0287538,-0.0471514,0.0392648
0.0217058,-0.062106,0.0601751
0.0130488,-0.07899,0.0827302
0.00288132,-0.0980775,0.107194
-0.00857952,-0.11954,0.133808
-0.0209465,-0.143359,0.162725
-0.0335961,-0.169199,0.193989
-0.0456144,-0.196215,0.227361
-0.0557496,-0.222814,0.262337
-0.0624584,-0.246304,0.297778
-0.0640725,-0.26266,0.33196
-0.0591252,-0.266075,0.362613
-0.0474165,-0.249457,0.384593
-0.0297811,-0.204164,0.39927
-0.0130578,-0.122968,0.383911
0,0,0.383911
0,0,-0.434391
-0.0128708,0.116342,-0.434391
-0.0273159,0.18857,-0.441142
-0.0401297,0.226568,-0.423012
-0.0462335,0.239114,-0.398243
-0.0456339,0.235416,-0.369328
-0.0392789,0.221743,-0.339214
-0.0286545,0.202801,-0.310048
-0.015275,0.18156,-0.282321
-0.00039311,0.159944,-0.25653
0.0149887,0.139077,-0.23257
0.0301426,0.119581,-0.210333
0.0445518,0.101738,-0.189574
0.0578732,0.0856203,-0.170063
0.0698873,0.0711625,-0.151564
0.080464,0.0582185,-0.13386
0.0895309,0.0465921,-0.116754
0.0970511,0.0360579,-0.100059
0.103005,0.0263731,-0.0835999
0.107377,0.0172836,-0.0672039
0.110146,0.00852564,-0.0506934
0.111278,-0.000174822,-0.0338811
0.110724,-0.00910492,-0.0165622
0.108414,-0.0185681,0.00149119
0.104261,-0.0288874,0.0205362
0.0981689,-0.0404065,0.040864
0.0900366,-0.0534874,0.0628011
0.0797825,-0.068502,0.0867108
0.0673706,-0.0858105,0.112978
0.0528571,-0.105723,0.142004
0.0364489,-0.128426,0.174136
0.0185947,-0.153871,0.209678
7.19279e-05,-0.181572,0.248626
-0.0178755,-0.210341,0.290866
-0.0335288,-0.23782,0.335258
-0.0446304,-0.260101,0.380659
-0.0488417,-0.270828,0.423455
-0.0444099,-0.261598,0.459761
-0.0310957,-0.220589,0.485361
-0.0148312,-0.137274,0.480416
0,0,0.480416
0,0,-0.525558
-0.0149497,0.130631,-0.525558
-0.0282996,0.202169,-0.515096
-0.0352497,0.234102,-0.485056
-0.0329071,0.23874,-0.445087
-0.0223277,0.228159,-0.405198
-0.00600927,0.209303,-0.365402
0.0139377,0.187021,-0.329109
0.0355508,0.164,-0.29584
0.057477,0.141821,-0.265997
0.0787275,0.121269,-0.239048
0.0986826,0.102687,-0.214664
0.116961,0.0861454,-0.192372
0.133365,0.0715588,-0.171789
0.147812,0.0587556,-0.152551
0.160291,0.0475197,-0.134352
0.170836,0.0376139,-0.116922
0.179494,0.0287932,-0.100025
0.186316,0.0208111,-0.0834439
0.191338,0.0134214,-0.0669739
0.194576,0.00637644,-0.0504112
0.19602,-0.000575684,-0.0335441
0.195624,-0.00769654,-0.0161435
0.193312,-0.0152629,0.00204593
0.18897,-0.023573,0.0213152
0.182449,-0.0329521,0.0419999
0.173572,-0.0437565,0.064487
0.162149,-0.0563742,0.0892238
0.147994,-0.0712172,0.116709
0.13097,-0.0887013,0.147507
0.11104,-0.109198,0.182168
0.0883742,-0.132951,0.221305
0.0634511,-0.159896,0.265211
0.0372886,-0.189412,0.314343
0.0114995,-0.219771,0.36767
-0.011284,-0.247645,0.425271
-0.028013,-0.266654,0.481857
-0.0348735,-0.267524,0.537126
-0.0300495,-0.234706,0.577464
-0.0163309,-0.153165,0.594361
0,0,0.594361
0,0,-0.680958
-0.0159932,0.142494,-0.680958
-0.0253467,0.207859,-0.634192
-0.021217,0.230201,-0.58174
-0.00588408,0.225285,-0.514475
0.0183227,0.207891,-0.456067
0.0469441,0.18492,-0.400923
0.0774967,0.160827,-0.35397
0.107797,0.137668,-0.31291
0.136656,0.116483,-0.277693
0.163302,0.0976281,-0.247009
0.187383,0.0811388,-0.220085
0.208764,0.0668732,-0.196072
0.227467,0.0546099,-0.174332
0.243593,0.0440951,-0.154318
0.257284,0.0350694,-0.135596
0.268693,0.0272794,-0.117804
0.277965,0.0204829,-0.100642
0.28522,0.0144494,-0.0838476
0.290552,0.00895821,-0.067182
0.294014,0.0037941,-0.0504153
0.29562,-0.00125738,-0.0333133
0.295338,-0.00641623,-0.015624
0.293086,-0.0119149,0.00293422
0.288732,-0.0180061,0.0226864
0.282087,-0.0249709,0.0440159
0.272911,-0.0331271,0.0673773
0.260912,-0.0428372,0.0933174
0.245761,-0.0545128,0.122479
0.227116,-0.0686132,0.155638
0.204662,-0.0856263,0.193642
0.178207,-0.106023,0.237555
0.147772,-0.130136,0.288191
0.113893,-0.157959,0.346968
0.077677,-0.188628,0.413337
0.0416931,-0.219889,0.489604
0.00915535,-0.246176,0.568433
-0.0137925,-0.258469,0.656239
-0.023545,-0.237911,0.722924
-0.0161286,-0.165007,0.782874
0,0,0.782874
0,0,-0.816035
-0.0119003,0.158688,-0.816035
-0.0105551,0.209665,-0.702963
0.013314,0.217203,-0.62971
0.0470338,0.200749,-0.536129
0.0879373,0.176836,-0.465159
0.129831,0.151186,-0.400342
0.170638,0.127084,-0.348143
0.208478,0.105567,-0.303876
0.242722,0.0869393,-0.267089
0.273076,0.0710715,-0.23579
0.299611,0.0576903,-0.208894
0.322531,0.0464716,-0.185307
0.342121,0.0370952,-0.164241
0.358688,0.0292633,-0.145048
0.372527,0.0227072,-0.12723
0.383905,0.0171862,-0.110385
0.393051,0.0124851,-0.0941868
0.40015,0.00840869,-0.0783585
0.405338,0.00477749,-0.0626545
0.408703,0.00142184,-0.0468419
0.41028,-0.00182367,-0.030686
0.410049,-0.00512646,-0.0139361
0.407933,-0.00866282,0.00368939
0.403791,-0.0126256,0.0225181
0.397416,-0.0172331,0.0429417
0.388526,-0.0227394,0.0654336
0.376763,-0.0294459,0.0905769
0.361688,-0.0377153,0.119077
0.342788,-0.0479843,0.151825
0.319491,-0.0607726,0.189838
0.291228,-0.0766814,0.234494
0.257478,-0.096343,0.286991
0.218076,-0.120325,0.349644
0.17318,-0.148738,0.422369
0.124589,-0.180824,0.510474
0.0744793,-0.212849,0.604499
0.0306509,-0.237708,0.723609
-0.00295958,-0.234738,0.81464
-0.00963622,-0.179897,0.950545
0,0,0.950545
0,0,-1.22636
0.0076246,0.146662,-1.22636
