u,v,p
-0.0315058,0.00156159,-0.00948056
-0.0320185,0.000836274,-0.00657763
-0.0322158,9.70025e-05,-0.00362319
-0.0320938,-0.000647915,-0.000656028
-0.0316519,-0.00138978,0.00228426
-0.030894,-0.00211915,0.00515776
-0.0298277,-0.00282553,0.00792474
-0.0284656,-0.00349706,0.0105463
-0.0268256,-0.0041203,0.012985
-0.0249316,-0.0046801,0.0152058
-0.022814,-0.0051595,0.0171771
-0.0205105,-0.00553993,0.0188712
-0.0180662,-0.00580147,0.0202667
-0.0155345,-0.00592351,0.0213474
-0.012976,-0.00588582,0.0221086
-0.0104588,-0.00566996,0.0225464
-0.00805515,-0.0052622,0.0226863
-0.00584438,-0.00465587,0.0225196
-0.00389573,-0.00386002,0.0221505
-0.00229739,-0.00290004,0.0214545
-0.00107423,-0.00184864,0.0208584
-0.000363758,-0.00079886,0.019522
0,0,0.019522
0,0,-0.0252531
-0.00047912,0.00139253,-0.0252531
-0.00138112,0.00295511,-0.0268895
-0.00288912,0.00444477,-0.0275427
-0.004813,0.00576683,-0.0283087
-0.0071182,0.00684667,-0.0286873
-0.00969921,0.00765991,-0.0288613
-0.0124795,0.00820127,-0.0287254
-0.0153724,0.00848341,-0.0283059
-0.0183018,0.00852713,-0.0275814
-0.021196,0.00835818,-0.0265603
-0.0239917,0.00800359,-0.0252465
-0.0266332,0.00748986,-0.0236539
-0.0290729,0.00684173,-0.0217989
-0.0312703,0.00608159,-0.0197033
-0.0331916,0.00522933,-0.0173916
-0.0348094,0.00430245,-0.0148922
-0.0361012,0.00331642,-0.0122357
-0.0370498,0.0022851,-0.00945537
-0.0376423,0.00122129,-0.00658632
-0.0378699,0.000137223,-0.00366536
-0.037728,-0.000954823,-0.000730554
-0.0372164,-0.00204204,0.0021792
-0.036339,-0.00311057,0.00502458
-0.0351047,-0.00414505,0.00776643
-0.033528,-0.00512818,0.0103663
-0.0316291,-0.00604048,0.0127872
-0.0294352,-0.00686002,0.0149944
-0.0269808,-0.00756248,0.0169564
-0.0243085,-0.00812135,0.0186455
-0.0214696,-0.00850849,0.0200398
-0.0185241,-0.00869507,0.021122
-0.01554,-0.00865317,0.0218861
-0.0125942,-0.00835779,0.0223242
-0.00976738,-0.00779058,0.0224601
-0.00714966,-0.006943,0.022272
-0.00481978,-0.00582578,0.0218707
-0.00288332,-0.00446955,0.0210812
-0.00137316,-0.00295528,0.020408
-0.000474654,-0.0013833,0.0187664
0,0,0.0187664
0,0,-0.0247214
-0.000577308,0.00211304,-0.0247214
-0.00165044,0.00429044,-0.0266511
-0.00342393,0.00630236,-0.0273874
-0.00566146,0.00805521,-0.0282553
-0.00831931,0.00947414,-0.0286751
-0.0112739,0.0105351,-0.0288785
-0.014439,0.0112352,-0.0287523
-0.0177183,0.0115916,-0.0283361
-0.0210282,0.0116314,-0.0276099
-0.02429,0.0113881,-0.0265863
-0.0274347,0.0108967,-0.0252707
-0.0304017,0.010192,-0.023678
-0.0331389,0.00930656,-0.021825
-0.0356021,0.0082702,-0.0197332
-0.0377545,0.00710945,-0.0174271
-0.039566,0.00584786,-0.0149341
-0.0410123,0.00450627,-0.0122845
-0.0420744,0.00310346,-0.00951098
-0.042738,0.00165678,-0.00664803
-0.0429938,0.000182833,-0.00373197
-0.0428364,-0.00130173,-0.000800441
-0.0422655,-0.00277954,0.00210799
-0.0412853,-0.00423187,0.00495425
-0.0399053,-0.00563793,0.00769932
-0.0381412,-0.00697445,0.0103048
-0.0360149,-0.00821519,0.0127335
-0.0335561,-0.00933078,0.0149506
-0.0308023,-0.0102887,0.0169239
-0.0278002,-0.0110538,0.018625
-0.0246057,-0.0115889,0.0200312
-0.0212844,-0.011856,0.0211233
-0.0179111,-0.0118188,0.0218935
-0.0145702,-0.0114449,0.0223297
-0.0113506,-0.0107103,0.022454
-0.00835306,-0.00960321,0.0222321
-0.00566641,-0.00813382,0.0217836
-0.00341451,-0.00633462,0.0208858
-0.00163925,-0.00428923,0.020124
-0.000571171,-0.00209919,0.0181873
0,0,0.0181873
0,0,-0.0244773
-0.00066362,0.00295427,-0.0244773
-0.00189213,0.00583842,-0.0266913
-0.00391222,0.0084391,-0.027523
-0.00644494,0.0106683,-0.0285078
-0.00943694,0.0124553,-0.0289855
-0.0127461,0.0137799,-0.0292325
-0.0162761,0.0146442,-0.0291257
-0.0199203,0.0150718,-0.0287165
-0.0235876,0.0150976,-0.0279864
-0.0271928,0.0147637,-0.0269522
-0.0306619,0.0141143,-0.0256208
-0.0339296,0.013193,-0.0240088
-0.0369405,0.0120412,-0.0221338
-0.0396475,0.0106964,-0.0200178
-0.0420114,0.0091926,-0.0176855
-0.0440001,0.00755967,-0.0151645
-0.0455879,0.00582431,-0.0124848
-0.0467545,0.00401053,-0.00967909
-0.0474849,0.00214054,-0.00678172
-0.0477687,0.000235629,-0.00382898
-0.0476003,-0.00168292,-0.000858569
-0.0469788,-0.00359288,0.00209079
-0.0459084,-0.00547026,0.00497971
-0.0443991,-0.00728851,0.00776871
-0.0424667,-0.00901783,0.0104187
-0.0401347,-0.0106247,0.0128918
-0.037434,-0.0120717,0.0151519
-0.0344048,-0.0133173,0.0171657
-0.0310968,-0.0143168,0.0189031
-0.0275698,-0.0150231,0.0203395
-0.0238949,-0.0153883,0.0214533
-0.0201526,-0.0153665,0.0222345
-0.016435,-0.0149167,0.0226664
-0.0128397,-0.0140079,0.0227702
-0.00947851,-0.0126233,0.0225001
-0.00645124,-0.0107702,0.0219866
-0.00390068,-0.00847999,0.0209639
-0.00187814,-0.00583501,0.0200996
-0.000655859,-0.00293425,0.0178754
0,0,0.0178754
0,0,-0.0245506
-0.000742081,0.00390389,-0.0245506
-0.00211536,0.00758225,-0.0270369
-0.00436937,0.010837,-0.0279676
-0.00718568,0.0135881,-0.0290737
-0.0105013,0.0157724,-0.0296157
-0.0141553,0.0173762,-0.0299109
-0.0180404,0.0184093,-0.0298253
-0.0220392,0.0189039,-0.0294215
-0.0260528,0.0189044,-0.0286817
-0.0299895,0.0184631,-0.0276266
-0.0337701,0.0176341,-0.0262651
-0.0373256,0.0164712,-0.0246156
-0.0405973,0.0150249,-0.0226969
-0.0435358,0.0133415,-0.020532
-0.0461003,0.0114625,-0.0181459
-0.0482572,0.00942472,-0.0155668
-0.0499798,0.00726095,-0.0128251
-0.051247,0.00500066,-0.00995337
-0.0520428,0.00267107,-0.00698652
-0.0523565,0.000298263,-0.00396109
-0.0521817,-0.00209166,-0.000915196
-0.051517,-0.00447149,0.00211186
-0.0503664,-0.00681177,0.00507996
-0.0487393,-0.00907987,0.00794866
-0.0466519,-0.0112391,0.0106777
-0.0441279,-0.0132483,0.0132278
-0.0411994,-0.0150611,0.0155612
-0.0379081,-0.0166265,0.0176425
-0.0343065,-0.0178893,0.0194396
-0.030458,-0.0187913,0.0209253
-0.0264383,-0.0192737,0.0220751
-0.0223344,-0.0192795,0.0228764
-0.0182462,-0.0187577,0.0233079
-0.0142804,-0.0176687,0.0233903
-0.010561,-0.0159887,0.0230673
-0.00719996,-0.0137197,0.0224817
-0.00435934,-0.0108895,0.0213281
-0.00210011,-0.00757695,0.0203564
-0.000733143,-0.00387657,0.0178541
0,0,0.0178541
0,0,-0.0249806
-0.000816566,0.00495589,-0.0249806
-0.0023296,0.00951404,-0.0277344
-0.00481229,0.0134885,-0.0287676
-0.00790866,0.0168089,-0.0299992
-0.0115461,0.019421,-0.0306098
-0.0155443,0.0213206,-0.0309556
-0.0197846,0.0225273,-0.0308908
-0.0241379,0.0230844,-0.0304882
-0.0284969,0.0230477,-0.0297301
-0.0327632,0.022481,-0.0286417
-0.0368526,0.0214502,-0.0272334
-0.0406921,0.0200201,-0.025526
-0.0442204,0.0182513,-0.0235396
-0.0473863,0.0161993,-0.0212984
-0.0501475,0.0139139,-0.0188285
-0.0524697,0.0114392,-0.0161588
-0.0543254,0.00881402,-0.0133202
-0.0556929,0.00607356,-0.0103461
-0.0565559,0.0032501,-0.00727194
-0.0569028,0.000374523,-0.00413494
-0.0567268,-0.0025223,-0.000974025
-0.0560256,-0.0054081,0.00217053
-0.0548025,-0.00824791,0.00525744
-0.0530661,-0.0110028,0.00824481
-0.0508322,-0.0136291,0.0110907
-0.0481243,-0.016077,0.0137538
-0.0449748,-0.0182912,0.0161939
-0.0414267,-0.02021,0.0183733
-0.0375344,-0.0217668,0.0202567
-0.0333648,-0.0228912,0.0218141
-0.0289985,-0.0235116,0.0230172
-0.024529,-0.0235588,0.0238509
-0.0200646,-0.0229698,0.0242889
-0.0157225,-0.0216945,0.0243519
-0.0116397,-0.0196997,0.0239737
-0.00794134,-0.0169806,0.0233109
-0.00480979,-0.0135589,0.0220201
-0.0023158,-0.00950925,0.0209356
-0.00080732,-0.00492114,0.0181562
0,0,0.0181562
0,0,-0.0257915
-0.000890848,0.00610808,-0.0257915
-0.00254437,0.0116317,-0.028815
-0.00525846,0.0163931,-0.0299535
-0.00863996,0.0203319,-0.0313136
-0.0126063,0.023404,-0.0319942
-0.0169575,0.0256167,-0.03239
-0.021562,0.0270022,-0.032342
-0.0262786,0.0276167,-0.0319333
-0.0309911,0.0275299,-0.031146
-0.0355937,0.026819,-0.0300095
-0.039997,0.0255631,-0.0285361
-0.0441243,0.0238392,-0.026749
-0.0479119,0.0217192,-0.0246699
-0.051307,0.0192687,-0.0223246
-0.0542665,0.016546,-0.0197405
-0.0567556,0.0136027,-0.0169474
-0.0587465,0.0104842,-0.0139774
-0.0602173,0.00723127,-0.0108647
-0.0611513,0.00388108,-0.00764561
-0.0615364,0.00046922,-0.00435835
-0.061365,-0.00296879,-0.00104296
